grupo_etario,2010,2022
0-4,189080,166848
10-14,218709,182774
15-19,220745,208546
20-24,245793,227966
25-29,268432,224162
30-34,252798,223174
35-39,212719,239309
40-44,187760,253359
45-49,157093,210070
5-9,200704,184611
50-54,123137,179636
55-59,95577,151836
60-64,69967,116514
65-69,48075,89949
70-74,35652,66188
75-79,21297,42396
80+,22622,50043
