ano,uf,codigo_uf,sexo,idade,grupo_etario,populacao
2010,Distrito Federal,53,Feminino,0,0-4,93142
2010,Distrito Federal,53,Feminino,0,40-44,98974
2010,Distrito Federal,53,Feminino,5,5-9,98880
2010,Distrito Federal,53,Feminino,5,80+,489
2010,Distrito Federal,53,Feminino,10,10-14,108112
2010,Distrito Federal,53,Feminino,15,15-19,111954
2010,Distrito Federal,53,Feminino,20,20-24,125420
2010,Distrito Federal,53,Feminino,25,25-29,140920
2010,Distrito Federal,53,Feminino,30,30-34,134291
2010,Distrito Federal,53,Feminino,35,35-39,112672
2010,Distrito Federal,53,Feminino,45,45-49,84568
2010,Distrito Federal,53,Feminino,50,50-54,67172
2010,Distrito Federal,53,Feminino,55,55-59,52544
2010,Distrito Federal,53,Feminino,60,60-64,39078
2010,Distrito Federal,53,Feminino,65,65-69,26915
2010,Distrito Federal,53,Feminino,70,70-74,19893
2010,Distrito Federal,53,Feminino,75,75-79,12412
2010,Distrito Federal,53,Feminino,80,80+,8070
2010,Distrito Federal,53,Feminino,80,80+,4035
2010,Distrito Federal,53,Feminino,80,80+,1608
2010,Distrito Federal,53,Feminino,80,80+,131
2010,Distrito Federal,53,Masculino,0,0-4,95938
2010,Distrito Federal,53,Masculino,0,40-44,88786
2010,Distrito Federal,53,Masculino,5,5-9,101824
2010,Distrito Federal,53,Masculino,5,80+,201
2010,Distrito Federal,53,Masculino,10,10-14,110597
2010,Distrito Federal,53,Masculino,15,15-19,108791
2010,Distrito Federal,53,Masculino,20,20-24,120373
2010,Distrito Federal,53,Masculino,25,25-29,127512
2010,Distrito Federal,53,Masculino,30,30-34,118507
2010,Distrito Federal,53,Masculino,35,35-39,100047
2010,Distrito Federal,53,Masculino,45,45-49,72525
2010,Distrito Federal,53,Masculino,50,50-54,55965
2010,Distrito Federal,53,Masculino,55,55-59,43033
2010,Distrito Federal,53,Masculino,60,60-64,30889
2010,Distrito Federal,53,Masculino,65,65-69,21160
2010,Distrito Federal,53,Masculino,70,70-74,15759
2010,Distrito Federal,53,Masculino,75,75-79,8885
2010,Distrito Federal,53,Masculino,80,80+,5074
2010,Distrito Federal,53,Masculino,80,80+,2163
2010,Distrito Federal,53,Masculino,80,80+,796
2010,Distrito Federal,53,Masculino,80,80+,55
