ano,uf,codigo_uf,populacao_total,populacao_masculina,populacao_feminina,percentual_masculino,percentual_feminino,razao_sexo,populacao_0_14,populacao_15_64,populacao_65_mais,percentual_jovens,percentual_adultos,percentual_idosos,indice_envelhecimento,razao_dependencia
2010,Distrito Federal,53,2570160,1228880,1341280,47.81,52.19,91.62,796943,1646261,126956,31.01,64.05,4.94,15.93,56.12
2022,Distrito Federal,53,2817381,1342786,1474595,47.66,52.34,91.06,789312,1781213,246856,28.02,63.22,8.76,31.27,58.17
